470.000 TL,Peugeot,301,1.6 HDi Active,2016,240.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",50 lt,Belirtilmemiş
925.000 TL,Mercedes - Benz,C,C 180 Kompressor BlueEfficiency Fascination,2011,185.000 km,Otomatik,Benzin,Sedan,1597 cc,156 hp,Arkadan İtiş,"6,5 lt",66 lt,3 boyalı
670.000 TL,Honda,Civic,1.6 i-VTEC Eco Premium,2013,177.000 km,Düz,LPG & Benzin,Sedan,1595 cc,125 hp,Önden Çekiş,"6,7 lt",50 lt,"2 değişen, 7 boyalı"
177.000 TL,Tofaş,Doğan,L,1985,222.000 km,Düz,LPG & Benzin,Sedan,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Tamamı boyalı
840.000 TL,Ford,Focus,1.5 TDCi Trend X,2016,142.000 km,Yarı Otomatik,Dizel,Sedan,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,Tamamı orjinal
223.000 TL,Hyundai,Accent,1.3 LS,1997,301.000 km,Düz,LPG & Benzin,Sedan,1201 - 1400 cm3,51 - 75 HP,Önden Çekiş,Belirtilmemiş,Takasa Uygun,Galeriden
709.900 TL,Hyundai,i20,1.4 CRDi Style,2017,98.822 km,Düz,Dizel,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"4,1 lt",45 lt,4 boyalı
275.000 TL,Chrysler,Neon,2.0 LE,1995,215.000 km,Otomatik,Benzin,Sedan,1995 cc,132 hp,Önden Çekiş,68 lt,Tamamı boyalı,Takasa Uygun Değil
685.000 TL,Honda,Civic,1.6 i-VTEC Premium,2012,182.000 km,Otomatik,LPG & Benzin,Sedan,1595 cc,125 hp,Önden Çekiş,"6,7 lt",50 lt,Belirtilmemiş
1.119.000 TL,Mercedes - Benz,CLA,180 CDI AMG,2015,175.000 km,Otomatik,Dizel,Coupe,1462 cc,109 hp,Önden Çekiş,"3,8 lt",50 lt,3 boyalı
499.900 TL,Opel,Corsa,1.4 Twinport Enjoy,2009,94.000 km,Otomatik,Benzin,Hatchback/5,1364 cc,90 hp,Önden Çekiş,"6,2 lt",45 lt,"1 değişen, 2 boyalı"
575.000 TL,BMW,3 Serisi,330d Standart,2003,298.500 km,Düz,Dizel,Sedan,2979 cc,184 hp,Arkadan İtiş,"6,7 lt",63 lt,"1 değişen, 10 boyalı"
1.450.000 TL,BMW,3 Serisi,320d Techno Plus,2016,189.000 km,Otomatik,Dizel,Sedan,1995 cc,190 hp,Arkadan İtiş,4 lt,57 lt,"1 değişen, 1 boyalı"
740.000 TL,Volkswagen,Polo,1.4 Comfortline,2013,136.000 km,Yarı Otomatik,LPG & Benzin,Hatchback/5,1390 cc,85 hp,Önden Çekiş,"5,8 lt",45 lt,Tamamı orjinal
750.000 TL,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2011,94.000 km,Düz,Benzin,Hatchback/5,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,"1 değişen, 5 boyalı"
1.090.000 TL,Volkswagen,New Beetle,1.2 TSi Beetle,2015,66.000 km,Yarı Otomatik,Benzin,Hatchback/3,1197 cc,105 hp,Önden Çekiş,"5,9 lt",55 lt,Belirtilmemiş
745.000 TL,Volkswagen,Jetta,1.4 TSi Trendline,2012,232.000 km,Yarı Otomatik,Benzin,Sedan,1390 cc,122 hp,Önden Çekiş,6 lt,55 lt,Belirtilmemiş
856.950 TL,Opel,Astra,1.6 CDTI Elite,2017,136.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,"5,1 lt",56 lt,4 boyalı
665.000 TL,Fiat,Egea,1.4 Fire Easy,2019,47.500 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"5,7 lt",45 lt,Tamamı orjinal
347.000 TL,Renault,Megane,1.6 RTE,2000,287.000 km,Düz,LPG & Benzin,Sedan,1598 cc,107 hp,Önden Çekiş,7 lt,60 lt,Belirtilmemiş
1.250.000 TL,Skoda,Octavia,1.6 TDI Style,2017,75.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş
654.000 TL,Renault,Clio,1.5 dCi Icon,2014,113.000 km,Düz,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,6 lt",45 lt,Belirtilmemiş
515.000 TL,Hyundai,Accent Era,1.4 Team,2009,134.000 km,Düz,Benzin,Sedan,1399 cc,97 hp,Önden Çekiş,"6,5 lt",45 lt,Belirtilmemiş
423.500 TL,Honda,Jazz,1.4 LS,2006,285.000 km,Düz,LPG & Benzin,Hatchback/5,1339 cc,83 hp,Önden Çekiş,"5,8 lt",42 lt,Belirtilmemiş
365.000 TL,Fiat,Punto,Grande 1.3 Multijet Active,2006,359.000 km,Düz,Dizel,Hatchback/5,1248 cc,75 hp,Önden Çekiş,"4,5 lt",45 lt,Belirtilmemiş
1.600.000 TL,Volkswagen,VW CC,1.4 TSi,2016,29.000 km,Yarı Otomatik,LPG & Benzin,Coupe,1395 cc,150 hp,Önden Çekiş,"5,6 lt",70 lt,Belirtilmemiş
1.250.000 TL,BMW,3 Serisi,320i Cabrio,2008,240.000 km,Otomatik,Benzin,Cabrio,1995 cc,170 hp,Arkadan İtiş,"6,7 lt",61 lt,3 boyalı
910.000 TL,Audi,A4,A4 Sedan 2.0 TDI,2014,292.000 km,Otomatik,Dizel,Sedan,1968 cc,150 hp,Önden Çekiş,"4,8 lt",63 lt,7 boyalı
895.000 TL,Renault,Megane,1.3 TCe Joy,2020,60.000 km,Düz,Benzin,Sedan,1332 cc,140 hp,Önden Çekiş,"5,5 lt",50 lt,Belirtilmemiş
855.000 TL,Honda,Civic,1.6 i-VTEC Elegance,2013,103.000 km,Otomatik,Benzin,Sedan,1598 cc,125 hp,Önden Çekiş,"6,7 lt",50 lt,2 boyalı
728.000 TL,Ford,Focus,1.6 Ti-VCT Style,2013,197.400 km,Yarı Otomatik,LPG & Benzin,Sedan,1596 cc,125 hp,Önden Çekiş,6 lt,55 lt,Belirtilmemiş
727.000 TL,Fiat,Egea,1.6 E-Torq Lounge Plus,2017,146.000 km,Otomatik,LPG & Benzin,Sedan,1598 cc,110 hp,Önden Çekiş,"6,3 lt",45 lt,Belirtilmemiş
645.900 TL,Renault,Clio,1.5 dCi Joy,2019,120.000 km,Düz,Dizel,Hatchback/5,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,Belirtilmemiş
1.790.000 TL,Mercedes - Benz,E,250 CGI,2015,78.500 km,Otomatik,Benzin,Coupe,1991 cc,211 hp,Arkadan İtiş,"6,1 lt",66 lt,"2 değişen, 1 boyalı"
825.000 TL,Mercedes - Benz,CLK,CLK 200 Avantgarde,2003,321.000 km,Düz,LPG & Benzin,Coupe,1998 cc,136 hp,Arkadan İtiş,"9,4 lt",62 lt,Tamamı orjinal
998.000 TL,Renault,Megane,1.5 Blue DCI Touch,2019,65.000 km,Yarı Otomatik,Dizel,Station wagon,1461 cc,115 hp,Önden Çekiş,"4,2 lt",49 lt,Belirtilmemiş
680.000 TL,Opel,Astra,1.6 Edition,2013,172.500 km,Düz,LPG & Benzin,Sedan,1598 cc,115 hp,Önden Çekiş,"6,5 lt",56 lt,Tamamı orjinal
613.500 TL,Peugeot,301,1.6 BlueHDI Allure,2018,181.000 km,Düz,Dizel,Sedan,1560 cc,102 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş
1.190.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2018,253.900 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,Belirtilmemiş
870.000 TL,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2016,229.500 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,110 hp,Önden Çekiş,"3,9 lt",50 lt,1 boyalı
389.500 TL,Fiat,Punto,EVO 1.4 Active,2011,230.000 km,Düz,LPG & Benzin,Hatchback/5,1368 cc,77 hp,Önden Çekiş,"5,9 lt",45 lt,Belirtilmemiş
1.249.000 TL,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2016,169.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,Belirtilmemiş
739.000 TL,Honda,Jazz,1.4 Fun,2012,90.000 km,Otomatik,Benzin,Hatchback/5,1339 cc,100 hp,Önden Çekiş,"5,4 lt",42 lt,Belirtilmemiş
683.500 TL,Fiat,Egea,1.4 Fire Easy,2020,46.500 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"5,7 lt",45 lt,Tamamı orjinal
1.095.000 TL,BMW,1 Serisi,118i Joy Plus,2016,127.000 km,Otomatik,Benzin,Hatchback/5,1499 cc,136 hp,Arkadan İtiş,"5,2 lt",52 lt,"1 değişen, 1 boyalı"
449.900 TL,Renault,Scenic,1.6 Dynamique,2006,242.000 km,Otomatik,LPG & Benzin,MPV,1598 cc,115 hp,Önden Çekiş,8 lt,60 lt,4 boyalı
1.125.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2017,149.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,"2 değişen, 1 boyalı"
855.750 TL,Toyota,Corolla,1.6 Advance,2014,192.000 km,Düz,LPG & Benzin,Sedan,1598 cc,132 hp,Önden Çekiş,"6,3 lt",55 lt,Tamamı orjinal
1.840.000 TL,BMW,2 Serisi,218i Gran Coupe First Edition M Sport,2021,52.000 km,Otomatik,Benzin,Coupe,1499 cc,140 hp,Önden Çekiş,"6,3 lt",42 lt,Tamamı orjinal
1.750.000 TL,Mercedes - Benz,C,C 180 BlueEFFICIENCY Fascination,2014,197.000 km,Otomatik,Benzin,Sedan,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,Belirtilmemiş,Takasa Uygun,Galeriden
386.000 TL,Hyundai,Accent Era,1.5 CRDi Mode,2011,320.000 km,Düz,Dizel,Sedan,1493 cc,110 hp,Önden Çekiş,"4,6 lt",45 lt,Belirtilmemiş
453.000 TL,Opel,Astra,1.3 CDTI Enjoy 111.Yıl,2011,249.000 km,Düz,Dizel,Sedan,1248 cc,90 hp,Önden Çekiş,"5,1 lt",52 lt,10 boyalı
575.000 TL,Citroen,C-Elysee,1.6 HDi Exclusive,2016,193.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,Belirtilmemiş
190.000 TL,Tofaş,Şahin,Şahin 5 Vites,1995,83.000 km,Düz,LPG & Benzin,Sedan,1581 cc,80 hp,Arkadan İtiş,52 lt,Tamamı boyalı,Takasa Uygun Değil
1.720.000 TL,BMW,5 Serisi,520i Executive Luxury Line,2015,150.000 km,Otomatik,Benzin,Sedan,1592 cc,170 hp,Arkadan İtiş,"6,7 lt",70 lt,Belirtilmemiş
228.000 TL,Opel,Vectra,2.0 CD,1998,325.000 km,Düz,LPG & Benzin,Sedan,1998 cc,136 hp,Önden Çekiş,"8,7 lt",61 lt,Belirtilmemiş
226.000 TL,Fiat,Albea,Sole 1.4 Fire Dynamic,2008,320.000 km,Düz,LPG & Benzin,Sedan,1368 cc,77 hp,Önden Çekiş,"6,2 lt",48 lt,Belirtilmemiş
2.550.000 TL,Mercedes - Benz,S,S 350 350 BlueTEC,2010,480.000 km,Otomatik,Dizel,Sedan,2987 cc,235 hp,Arkadan İtiş,"7,7 lt",90 lt,"1 değişen, 3 boyalı"
945.000 TL,Renault,Megane,1.5 dCi Touch,2019,130.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Tamamı orjinal
889.000 TL,Ford,Focus,1.5 TDCi Trend X,2016,93.000 km,Yarı Otomatik,Dizel,Sedan,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,Tamamı orjinal
478.500 TL,Ford,Fiesta,1.4 Titanium X,2010,205.000 km,Otomatik,LPG & Benzin,Hatchback/5,1388 cc,96 hp,Önden Çekiş,"6,5 lt",42 lt,Belirtilmemiş
325.000 TL,Renault,Symbol,1.5 dCi Authentique,2006,220.000 km,Düz,Dizel,Sedan,1461 cc,85 hp,Önden Çekiş,"4,5 lt",50 lt,"2 değişen, 4 boyalı"
650.000 TL,Hyundai,Accent Blue,1.6 CRDI Mode,2012,272.000 km,Düz,Dizel,Sedan,1582 cc,128 hp,Önden Çekiş,"4,4 lt",43 lt,Belirtilmemiş
926.500 TL,Seat,Leon,1.0 EcoTSI Ecomotive Style,2017,152.000 km,Yarı Otomatik,Benzin,Hatchback/5,999 cc,115 hp,Önden Çekiş,"4,4 lt",50 lt,Belirtilmemiş
555.000 TL,Renault,Fluence,1.5 dCi Joy,2014,207.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 3 boyalı"
335.000 TL,Opel,Vectra,2.0 GLS,1993,174.000 km,Düz,Benzin,Sedan,1998 cc,115 hp,Önden Çekiş,Belirtilmemiş,Takasa Uygun Değil,Galeriden
657.500 TL,Citroen,C-Elysee,1.5 BlueHDi Feel,2019,102.000 km,Düz,Dizel,Sedan,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt,5 boyalı
158.500 TL,Renault,R 21,1.7 Optima,1993,197.000 km,Düz,LPG & Benzin,Sedan,1721 cc,73 hp,Önden Çekiş,Belirtilmemiş,Takasa Uygun Değil,Galeriden
1.010.000 TL,Renault,Megane,1.5 dCi Icon,2016,38.000 km,Düz,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,9 lt",49 lt,Tamamı orjinal
675.000 TL,Seat,Ibiza,1.2 TSI Style,2011,132.500 km,Yarı Otomatik,Benzin,Hatchback/5,1197 cc,105 hp,Önden Çekiş,"5,3 lt",45 lt,3 boyalı
1.145.000 TL,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2017,85.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"4,2 lt",50 lt,"2 değişen, 2 boyalı"
245.000 TL,Opel,Astra,1.7 D GLS,1994,284.000 km,Düz,Dizel,Sedan,1700 cc,60 hp,Önden Çekiş,"5,6 lt",Belirtilmemiş,Takasa Uygun Değil
645.000 TL,Peugeot,208,1.2 VTi Access,2015,44.253 km,Yarı Otomatik,Benzin,Hatchback/5,1199 cc,83 hp,Önden Çekiş,"4,5 lt",50 lt,Tamamı orjinal
785.000 TL,Renault,Clio,1.5 dCi Icon,2018,75.000 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,7 lt",45 lt,Belirtilmemiş
585.000 TL,Fiat,Egea,1.3 Multijet Easy,2017,220.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Belirtilmemiş
1.695.000 TL,BMW,3 Serisi,320i ED 40th Year Edition,2016,137.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,"5,3 lt",60 lt,Belirtilmemiş
2.800.000 TL,Mercedes - Benz,C,C 200 AMG,2020,40.000 km,Otomatik,Benzin,Coupe,1497 cc,184 hp,4WD (Sürekli),7 lt,50 lt,Belirtilmemiş
725.000 TL,Volkswagen,Golf,1.6 TDi Highline,2011,192.744 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,"1 değişen, 5 boyalı"
530.000 TL,Renault,Laguna,2.0 dCi Privilege,2009,277.000 km,Otomatik,Dizel,Hatchback/5,1995 cc,150 hp,Önden Çekiş,7 lt,66 lt,Belirtilmemiş
235.000 TL,Tofaş,Şahin,S,1997,123.456 km,Düz,LPG & Benzin,Sedan,1581 cc,80 hp,Arkadan İtiş,52 lt,Belirtilmemiş,Takasa Uygun Değil
775.000 TL,Ford,Focus,1.5 TDCi Trend X,2015,191.000 km,Yarı Otomatik,Dizel,Sedan,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,Belirtilmemiş
370.000 TL,Renault,Symbol,1.5 dCi Authentique,2011,190.000 km,Düz,Dizel,Sedan,1461 cc,65 hp,Önden Çekiş,"4,5 lt",50 lt,Belirtilmemiş
525.000 TL,Seat,Ibiza,1.4 Style,2012,228.000 km,Düz,Benzin,Hatchback/5,1390 cc,85 hp,Önden Çekiş,"5,9 lt",45 lt,"1 değişen, 2 boyalı"
640.000 TL,Opel,Astra,1.6 Enjoy Plus,2012,167.000 km,Düz,LPG & Benzin,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"6,3 lt",56 lt,"1 değişen, 4 boyalı"
459.000 TL,Toyota,Yaris,1.33 Terra Sporty,2011,298.000 km,Düz,Benzin,Hatchback/5,1329 cc,101 - 125 HP,Önden Çekiş,"5,1 lt",42 lt,Belirtilmemiş
845.000 TL,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2013,148.500 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"2 değişen, 2 boyalı"
546.500 TL,Fiat,Linea,1.3 Multijet Urban,2013,107.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,9 lt",45 lt,Belirtilmemiş
459.000 TL,Toyota,Yaris,1.33 Terra Sporty,2011,298.000 km,Düz,Benzin,Hatchback/5,1329 cc,101 - 125 HP,Önden Çekiş,"5,1 lt",42 lt,Belirtilmemiş
845.000 TL,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2013,148.500 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"2 değişen, 2 boyalı"
546.500 TL,Fiat,Linea,1.3 Multijet Urban,2013,107.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,9 lt",45 lt,Belirtilmemiş
530.000 TL,Renault,Symbol,1.5 dCi Joy,2013,155.000 km,Düz,Dizel,Sedan,1461 cc,90 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş
1.320.000 TL,Skoda,SuperB,1.6 TDI Style,2018,135.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Tamamı orjinal
369.000 TL,Opel,Astra,1.6 Elegance,2004,318.000 km,Düz,LPG & Benzin,Sedan,1598 cc,103 hp,Önden Çekiş,"7,5 lt",52 lt,Belirtilmemiş
915.000 TL,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY Style,2013,95.070 km,Düz,Dizel,Hatchback/5,1461 cc,109 hp,Önden Çekiş,4 lt,50 lt,"1 değişen, 1 boyalı"
645.000 TL,Peugeot,301,1.5 BlueHDI Active,2020,120.000 km,Düz,Dizel,Sedan,1499 cc,102 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş
645.000 TL,Fiat,Egea,1.3 Multijet Easy,2020,109.762 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,1 boyalı
465.000 TL,Peugeot,107,1.0 Urban Move,2011,117.000 km,Yarı Otomatik,Benzin,Hatchback/5,998 cc,69 hp,Önden Çekiş,"4,6 lt",35 lt,Belirtilmemiş
1.700.000 TL,Mercedes - Benz,CLA,200 AMG,2016,55.600 km,Otomatik,Benzin,Coupe,1595 cc,156 hp,Önden Çekiş,"5,5 lt",50 lt,Belirtilmemiş
380.750 TL,Opel,Corsa,1.3 CDTI Essentia,2005,208.000 km,Yarı Otomatik,Dizel,Hatchback/5,1248 cc,70 hp,Önden Çekiş,"4,4 lt",44 lt,Belirtilmemiş
769.000 TL,Ford,Focus,1.6 TDCi Trend X,2017,191.800 km,Düz,Dizel,Sedan,1560 cc,95 hp,Önden Çekiş,"4,5 lt",53 lt,Belirtilmemiş
1.100.000 TL,Skoda,Octavia,1.6 TDI Style,2018,199.200 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş
2.825.000 TL,Mercedes - Benz,E,200 d AMG,2020,68.000 km,Otomatik,Dizel,Sedan,1597 cc,160 hp,Arkadan İtiş,"4,3 lt",50 lt,Tamamı orjinal
783.000 TL,Hyundai,Elantra,1.6 D-CVVT Mode Plus,2012,138.500 km,Otomatik,Benzin,Sedan,1591 cc,132 hp,Önden Çekiş,7 lt,48 lt,3 boyalı
1.725.000 TL,Mercedes - Benz,E,250 CDI BlueEFFICIENCY Avantgarde,2012,242.000 km,Otomatik,Dizel,Sedan,2143 cc,204 hp,Arkadan İtiş,"6,2 lt",59 lt,Tamamı orjinal
290.000 TL,Fiat,Albea,1.3 Multijet Active,2004,350.000 km,Düz,Dizel,Sedan,1248 cc,70 hp,Önden Çekiş,"4,7 lt",48 lt,"1 değişen, 11 boyalı"
1.125.000 TL,Renault,Megane,1.3 TCe Joy Comfort,2022,6.001 km,Yarı Otomatik,Benzin,Sedan,1332 cc,140 hp,Önden Çekiş,"5,3 lt",50 lt,Tamamı orjinal
390.000 TL,Nissan,Micra,1.2 Mood,2006,110.000 km,Düz,LPG & Benzin,Hatchback/5,1240 cc,80 hp,Önden Çekiş,"5,9 lt",46 lt,Tamamı orjinal
3.320.900 TL,Volvo,S90,2.0 D B5 Inscription,2021,63.000 km,Otomatik,Hibrit,Sedan,1969 cc,235 hp,4WD (Sürekli),"5,4 lt",60 lt,Belirtilmemiş
385.000 TL,Volkswagen,Passat,1.9 TDi Comfortline,2002,400.000 km,Otomatik,Dizel,Sedan,1896 cc,130 hp,Önden Çekiş,7 lt,62 lt,Belirtilmemiş
299.900 TL,Chery,Alia,1.6L Acteco Norma,2008,232.000 km,Düz,LPG & Benzin,Sedan,1597 cc,112 hp,Önden Çekiş,"6,5 lt",52 lt,4 boyalı
1.225.000 TL,Honda,Civic,1.6 i-VTEC Eco Executive,2018,60.000 km,Otomatik,LPG & Benzin,Sedan,1597 cc,125 hp,Önden Çekiş,"6,7 lt",47 lt,Belirtilmemiş
969.500 TL,BMW,1 Serisi,116d ED EfficientDynamics,2014,151.000 km,Düz,Dizel,Hatchback/5,1598 cc,116 hp,Arkadan İtiş,"3,8 lt",52 lt,Tamamı orjinal
1.549.000 TL,Audi,A5,A5 Sportback 2.0 TDI,2015,177.000 km,Otomatik,Dizel,Hatchback/5,1801 - 2000 cm3,176 - 200 HP,Önden Çekiş,1 boyalı,Takasa Uygun,Galeriden
1.225.000 TL,BMW,5 Serisi,520d Comfort,2012,311.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,"5,2 lt",70 lt,"1 değişen, 3 boyalı"
1.950.000 TL,BMW,5 Serisi,520i Executive M Sport,2016,153.000 km,Otomatik,Benzin,Sedan,1592 cc,170 hp,Arkadan İtiş,"6,7 lt",70 lt,Tamamı orjinal
810.000 TL,Fiat,Egea,1.3 Multijet Easy,2022,8.264 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",50 lt,Tamamı orjinal
700.000 TL,Fiat,Egea,1.3 Multijet Easy Plus,2018,144.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Tamamı orjinal
998.000 TL,Marka:,Seri:,Model:,Yıl:,Kilometre:,Vites Tipi:,Yakıt Tipi:,Kasa Tipi:,Motor Hacmi:,Motor Gücü:,Çekiş:,Ort. Yakıt Tüketimi:,Yakıt Deposu:,Boya-değişen:
1.295.000 TL,Skoda,SuperB,1.6 TDI Style,2019,219.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,1 değişen
774.000 TL,Volkswagen,Jetta,1.2 TSi BlueMotion Comfortline,2016,190.000 km,Düz,Benzin,Sedan,1197 cc,105 hp,Önden Çekiş,5 lt,55 lt,Belirtilmemiş
425.500 TL,Ford,Fiesta,1.4 TDCi Comfort,2007,269.000 km,Düz,Dizel,Hatchback/5,1399 cc,68 hp,Önden Çekiş,"4,3 lt",45 lt,2 değişen
1.908.950 TL,BMW,1 Serisi,118i M Sport,2023,6.150 km,Otomatik,Benzin,Hatchback/5,1499 cc,140 hp,Önden Çekiş,6 lt,42 lt,Belirtilmemiş
1.376.950 TL,Peugeot,308,1.2 PureTech Allure,2023,6.150 km,Otomatik,Benzin,Hatchback/5,1199 cc,132 hp,Önden Çekiş,"5,9 lt",52 lt,Tamamı orjinal
1.679.000 TL,Ford,Focus,1.0 EcoBoost Titanium X,2023,6.001 km,Yarı Otomatik,Hibrit,Hatchback/5,999 cc,125 hp,Önden Çekiş,"5,6 lt",52 lt,Tamamı orjinal
939.000 TL,Fiat,Egea,1.6 Multijet Easy,2022,6.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,130 hp,Önden Çekiş,"4,4 lt",50 lt,Tamamı orjinal
575.000 TL,Opel,Astra,1.3 CDTI Essentia Konfor,2010,202.000 km,Yarı Otomatik,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,5 lt,52 lt,Tamamı orjinal
